Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu (Euros/mes) T1,Preu (Euros/mes) T2,Preu (Euros/mes) T3,Preu (Euros/mes) T4,Preu (Euros/m2 mes) T1,Preu (Euros/m2 mes) T2,Preu (Euros/m2 mes) T3,Preu (Euros/m2 mes) T4,Preu (Euros/mes) Mean,Preu (Euros/mes) Std,Preu (Euros/m2 mes) Mean,Preu (Euros/m2 mes) Std,Infraccion_gravedad,accidentes_mati,accidentes_tarde,accidentes_nit,accidentes,accidentes_tipo,accidentes_tipo_count,Indice_Sonido_Dia,Indice_Sonido_Tarde,Indice_Sonido_Noche,Indice_Sonido,indice
1,Ciutat Vella,1,el Raval,374.245,363.99,389.41,395.575,13.5,13.69,13.97,14.42,380.805,14.352430107824944,13.895,0.3997082269189199,1518,58,87,34.0,179,Manca d'atenció a la conducció,41,0.31593125,0.27600625,0.20126875000000002,0.24662250000000002,0.728713284204989
1,Ciutat Vella,2,el Barri Gòtic,459.7,490.96999999999997,521.46,503.78499999999997,14.14,13.78,14.43,14.41,493.97875,26.047820886144535,14.190000000000001,0.30364452901377975,1402,66,83,35.0,184,Manca d'atenció a la conducció,42,0.33914375,0.30610625,0.18635000000000002,0.252835625,0.6750477178607943
1,Ciutat Vella,3,la Barceloneta,371.12,379.06,388.95,393.18,19.46,19.87,19.72,20.33,383.07750000000004,9.927552148775982,19.845,0.3650114153466062,1338,55,84,23.0,162,Manca d'atenció a la conducció,33,0.33901875,0.30176250000000004,0.17859999999999998,0.24763249999999998,0.7325071318200584
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",455.145,473.06,471.65999999999997,465.21999999999997,15.01,15.99,16.16,15.66,466.27124999999995,8.165462198593948,15.704999999999998,0.5077072647369416,1389,64,74,22.0,160,Altres,21,0.31684999999999997,0.2792375,0.1900875,0.24218499999999998,0.700727810392346
2,Eixample,5,el Fort Pienc,441.925,448.79,473.49,462.15999999999997,12.77,12.59,13.44,13.54,456.59124999999995,14.053909524280652,13.084999999999999,0.475149099406351,2653,116,136,36.0,288,Manca d'atenció a la conducció,47,0.48823125000000006,0.43768125,0.3043,0.381100625,0.492922752122701
2,Eixample,6,la Sagrada Família,430.03999999999996,440.65500000000003,460.3,445.075,13.04,13.34,13.82,13.13,444.0175,12.555410852165174,13.332500000000001,0.34846090168051874,4471,205,227,70.0,502,Gir indegut o sense precaució,103,0.4850125,0.43358749999999996,0.30952500000000005,0.38184125,0.4366547993208263
2,Eixample,7,la Dreta de l'Eixample,581.9549999999999,616.005,596.26,619.515,12.82,13.83,13.41,13.95,603.43375,17.60153704225858,13.502500000000001,0.5105144464165531,9950,450,566,123.0,1139,Gir indegut o sense precaució,179,0.51644375,0.47405624999999996,0.32831875000000005,0.40966500000000006,0.1487057182848237
2,Eixample,8,l'Antiga Esquerra de l'Eixample,507.365,528.895,556.115,547.625,13.24,13.51,14.02,13.96,535.0,21.650235564538324,13.6825,0.37259227045122667,5828,263,297,61.0,621,Gir indegut o sense precaució,125,0.52006875,0.47285625000000003,0.3396,0.415670625,0.30968993439536185
2,Eixample,9,la Nova Esquerra de l'Eixample,461.045,481.65000000000003,481.97499999999997,485.43,13.01,13.34,13.8,13.86,477.52500000000003,11.119015993633003,13.502500000000001,0.4021919110739715,3567,156,196,37.0,389,Gir indegut o sense precaució,58,0.48136874999999996,0.42953125,0.296375,0.37332062499999996,0.4625626115002799
2,Eixample,10,Sant Antoni,444.675,450.28499999999997,467.81,459.64500000000004,12.38,12.79,13.16,13.46,455.60375,10.215199765545465,12.9475,0.46714558758485575,2397,106,126,32.0,264,Gir indegut o sense precaució,43,0.47348125,0.41720625,0.28754375,0.36363,0.5232817835469514
3,Sants-Montjuïc,11,el Poble Sec,364.365,385.375,386.695,387.175,13.02,13.95,13.52,14.12,380.9025,11.051236356173002,13.652499999999998,0.49148584245462573,2520,118,125,38.0,281,No respectar distàncies,56,0.31829999999999997,0.27997500000000003,0.20408125,0.24969312500000002,0.6913456073702469
3,Sants-Montjuïc,12,la Marina del Prat Vermell,415.1766011904762,415.1766011904762,415.1766011904762,415.1766011904762,12.52025,12.52025,12.52025,12.52025,415.1766011904762,0.0,12.52025,0.0,2244,123,120,23.0,266,Manca d'atenció a la conducció,65,0.3158375,0.27885624999999997,0.1574375,0.225543125,0.7149692087184694
3,Sants-Montjuïc,13,la Marina de Port,349.52,322.07,361.40999999999997,369.40000000000003,9.88,9.86,10.89,10.73,350.6,20.699624795311315,10.34,0.5466869914920849,848,50,40,9.0,99,Manca d'atenció a la conducció,22,0.4026,0.33103124999999994,0.21747500000000003,0.288566875,0.7132488468418641
3,Sants-Montjuïc,14,la Font de la Guatlla,409.46500000000003,398.705,415.56,420.35,12.59,12.39,13.48,13.34,411.02,9.340552267755205,12.95,0.5404319260246073,482,19,28,7.0,54,Manca d'atenció a la conducció,12,0.42400000000000004,0.39030625,0.27449375,0.33913875,0.637050719201913
3,Sants-Montjuïc,15,Hostafrancs,346.265,380.97,395.59499999999997,392.485,12.36,12.33,13.55,13.19,378.82875,22.602234909775333,12.857499999999998,0.6098838687269353,1058,51,57,17.0,125,Altres,19,0.4107437500000001,0.3710625000000001,0.23789375,0.312414375,0.664614060677793
3,Sants-Montjuïc,16,la Bordeta,375.105,386.435,437.28000000000003,399.245,10.86,11.89,12.87,11.96,399.51625,27.038260661206255,11.895,0.8218069521893001,946,44,50,12.0,106,Manca d'atenció a la conducció,26,0.4128375,0.3801375,0.2613875,0.3273025,0.6410438528803395
3,Sants-Montjuïc,17,Sants - Badal,355.245,389.51,404.95,393.075,12.91,12.97,13.4,13.29,385.695,21.346163980131568,13.1425,0.23935677693908428,587,23,33,11.0,67,Altres,11,0.37420624999999996,0.327075,0.22112500000000002,0.28352625,0.7126596736407902
3,Sants-Montjuïc,18,Sants,375.115,396.56,412.895,410.025,12.96,12.85,13.31,13.49,398.64874999999995,17.229576980200825,13.152500000000002,0.29848227194703997,1698,88,99,21.0,208,Manca d'atenció a la conducció,36,0.33948749999999994,0.29854375,0.2014375,0.258179375,0.7006848430603312
4,Les Corts,19,les Corts,474.975,510.535,514.115,529.205,13.63,14.23,14.66,14.65,507.2075,22.96090790161981,14.292499999999999,0.48499999999999976,3359,136,195,28.0,359,Manca d'atenció a la conducció,59,0.44148124999999994,0.39233749999999995,0.27446250000000005,0.34322874999999997,0.4931945632967323
4,Les Corts,20,la Maternitat i Sant Ramon,454.8,447.60999999999996,492.15500000000003,474.41,13.15,13.17,13.6,13.44,467.24375000000003,20.10187859173037,13.34,0.21802140567690412,1776,73,103,17.0,193,Manca d'atenció a la conducció,34,0.40433125000000003,0.3631875,0.25473124999999996,0.317188125,0.5956930300115354
4,Les Corts,21,Pedralbes,936.31,841.695,949.48,876.57,16.05,16.76,16.54,15.22,901.0137500000001,50.698499875078454,16.142500000000002,0.6828555240068477,2059,81,118,19.0,218,Manca d'atenció a la conducció,49,0.4580187499999999,0.39916874999999996,0.27911250000000004,0.35091062500000003,0.3535190077141581
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",629.06,559.51,690.515,616.255,10.12,17.35,20.61,18.56,623.835,53.7546433653255,16.66,4.562901123919591,341,11,29,4.0,44,Altres,13,0.20405625,0.17421875,0.105,0.145576875,0.7843204067117876
5,Sarrià-Sant Gervasi,23,Sarrià,653.89,720.895,691.135,676.045,16.28,17.93,18.26,17.32,685.49125,28.125599660273913,17.447499999999998,0.8703016718356916,2203,90,126,17.0,233,Manca d'atenció a la conducció,49,0.35061875000000003,0.30713125,0.19945625000000003,0.26199125,0.5524790632570584
5,Sarrià-Sant Gervasi,24,les Tres Torres,766.3199999999999,831.76,886.535,803.455,16.12,16.76,16.07,18.38,822.0174999999999,50.67610227382002,16.8325,1.0784363680811206,1323,55,84,11.0,150,Desobeir altres senyals,26,0.36666875,0.3253125,0.21263749999999998,0.27724625,0.5030556217831934
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,598.3599999999999,625.46,670.085,607.215,14.6,14.71,15.77,16.19,625.28,31.929876552637488,15.317499999999999,0.785254735738665,2246,97,120,23.0,240,Manca d'atenció a la conducció,52,0.4163,0.37211875,0.24348750000000002,0.31663937500000006,0.5108498715982293
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,641.3349999999999,650.995,696.385,665.22,14.06,14.76,14.95,14.64,663.48375,24.02805872828683,14.6025,0.3835253142449222,3196,142,171,55.0,368,Manca d'atenció a la conducció,68,0.46083124999999997,0.39730624999999997,0.28970625,0.35621125,0.41380517078120893
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,464.21000000000004,458.205,488.71,476.76000000000005,14.97,13.99,15.01,15.32,471.97125,13.57527800513369,14.8225,0.5766209037718514,1024,51,52,15.0,118,Manca d'atenció a la conducció,18,0.44875,0.38758125000000004,0.255525,0.33378687500000004,0.5985222007364737
6,Gràcia,28,Vallcarca i els Penitents,480.345,466.115,463.28,444.75,14.1,14.39,14.05,13.97,463.6225,14.630369384719364,14.127500000000001,0.18300728582946274,1285,58,81,11.0,150,Manca d'atenció a la conducció,47,0.4036937500000001,0.35908125,0.24605,0.311488125,0.6207073123682831
6,Gràcia,29,el Coll,349.69,356.54999999999995,406.8,361.63500000000005,11.96,11.81,14.16,11.7,368.66875,25.887725011093586,12.407500000000002,1.1731829922622188,252,9,14,6.0,29,Manca d'atenció a la conducció,10,0.4162,0.3691125,0.2552375,0.3215925,0.6848912120833808
6,Gràcia,30,la Salut,426.93,433.97,408.89,376.41999999999996,12.48,12.24,13.52,11.55,411.5525,25.69301639875451,12.447499999999998,0.8164710650108792,582,32,25,6.0,63,Manca d'atenció a la conducció,13,0.44834999999999997,0.39595625,0.2703875,0.343650625,0.6279524508705326
6,Gràcia,31,la Vila de Gràcia,425.99,433.71000000000004,441.57000000000005,447.46000000000004,14.89,14.85,15.2,15.07,437.1825,9.348929974423111,15.0025,0.16276260831857722,1494,72,94,31.0,197,Altres,36,0.37129375,0.32499999999999996,0.22303125,0.28327437499999997,0.6598481333594233
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,426.10499999999996,443.12,446.985,437.995,12.92,13.83,13.97,13.48,438.55125,9.077814875655214,13.55,0.46783187863448006,987,43,61,17.0,121,Altres,20,0.4537125,0.39829375,0.26781875000000005,0.34414,0.6018659057169526
7,Horta-Guinardó,33,el Baix Guinardó,378.27,384.15,408.69,392.695,12.66,12.17,13.12,12.37,390.95124999999996,13.22592175426727,12.579999999999998,0.4123913998456642,913,52,44,9.0,105,Manca d'atenció a la conducció,21,0.45434375,0.39245625,0.27488124999999997,0.34604625,0.6230295314628618
7,Horta-Guinardó,34,Can Baró,324.575,361.39,355.26,353.14,11.85,12.6,12.49,12.63,348.59124999999995,16.38852869896095,12.3925,0.3666401505563735,160,6,9,2.0,17,Manca d'atenció a la conducció,5,0.28916875,0.25258749999999996,0.16889375,0.21805687499999998,0.8233366813115459
7,Horta-Guinardó,35,el Guinardó,367.47499999999997,367.04499999999996,376.13,385.77,12.28,11.81,12.58,12.48,374.105,8.831257932291802,12.287500000000001,0.3418942331579557,988,52,47,19.0,118,Altres,20,0.36341874999999996,0.3157125,0.207725,0.27125999999999995,0.7193271301126076
